track_id,track_name,main_artist_name,duration_second
3cjPSKlHrekNwiE1fZybZ5,Straight to Hell,Ozzy Osbourne,225
1QQHJWEbtFDTNweBtxM5vR,"Unlasting (From ""Sword Art Online Alicization: War of Underworld"")",Akano,107
6kIivltIxJscvk682sTXoV,ジェリーフィッシュ (feat. ローラーガール),Yunomi,235
0N8Xztr4pBHJ7V0moJWhbO,愛を伝えたいだとか,Aimyon,235
4K9RaeHdiOObdqzXN8JVlu,See You Tomorrow (Outro),Snail's House,71
6XAQ6PSTfIVA5jRzBW862V,Look Up,Nulbarich,214
0bdYJCO9clK9ew61Z7GqMf,Paprika,Foorin,208
7C39RtGhnEw7cyf0Pyw7PV,Saint-Tropez,Post Malone,150
5aNAZP8OrpTTL428QLTtlp,Youthful Beautiful,Maaya Uchida,277
7vfaRUaFBDwENwa3tzJY64,Upper West Side,King Princess,211
0GiwV6v3AgJfdu59tj719Y,Pump It Up,Endor,150
5m0uWrm9gp38F81BR6sNvd,Neverland,Trifect,176
3o8QzWsiiqTUVgBZfHgF58,Cherry Bomb,NCT 127,236
3anjIXtZMdqKNi4iaNfKft,Is This It?,The Greeting Committee,167
1GLM0M9DA62xZsyp2UNq7i,Sugar,Peking Duk,191
5Ti99QiUdIwe0xG4gS22FL,Can I Call You Tonight?,Dayglow,278
4RL77hMWUq35NYnPLXBpih,Skinny Love,Birdy,201
73wdYpcwkEAd3f1vtHdlbe,僕と君のララバイ,みゆな,276
5aZQrb2TXWEh9uZR4HEY3r,Even Though I'm Leaving,Luke Combs,225
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,180
22aZD7yaGYfhgCYazL4nbc,366日,HY,352
2AlJxc1feZlA2o0Lauafyo,Universe,Dirty Androids,250
1HmzAZUvhQLhLo2z3ocpZI,Radio Ga Ga - 2011 Mix,Queen,348
7sNoYrWSysPqaTT5LCMEmn,Oedo Controller,Yunomi,256
3XiDdtLkxzZWQWEkUFz8DX,タユタ,ayaka,192
22cTvElaAcMjHtB0xFWTEi,Gomenne,Kenshi Yonezu,211
3r1zS42zqcjtdi7uLWPliv,The Greatest Mistakes,Birds Of Tokyo,156
1VGzxJnVQND7Cg5H5wGj14,YEAH RIGHT,Joji,174
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,WILLOW,196
5uIRujGRZv5t4fGKkUTv4n,Feeling Lonely,boy pablo,197
2MMVw3XbLBGA3s4BV1Yjep,Play Goodbye,amazarashi,270
5i6d2nsVO8GTjVEXmylVjU,Walk (Interlude),Snail's House,167
3ZsH2zff1zBe1vYCQGIS8m,Ash,LiSA,238
1yoOiFrd7KHnUPun8BSBxl,Ipanema,Still Woozy,127
3TTWpDAiJfyoJDd5v2F8C3,Throwaway (with Clairo),SG Lewis,180
4c5flXd8U7nwTxIrpYCekH,最後の夏が終わる前に,Snail's House,247
3gY1UX6zV7IQAKcBgi2gcm,夕凪、某、花惑い,ヨルシカ,198
2cE5PbW9PhPmnyETXqH3VE,Grand Escape (Movie Edit) [feat. Toko Miura],RADWIMPS,188
5YVGJemdWfpfmiQ2e7nBOU,Market,Snail's House,140
7CK2ioYuFmjRKHRhsop0Ww,Sunflower,Snail's House,244
0adpMk52noKN7rxBQIWLJ4,PUMP,YUC'e,193
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,302
4VginDwYTP2eaHJzO0QMjG,Circles,Post Malone,214
6HRG2C52qRluU11qarywb1,La France,Czecho No Republic,153
2TH3YX8ELcvWrv5pLKd3bQ,Introduction,Snail's House,38
0ErT89RwJ9BlFpMAtNA9uX,Constantinople,Fishing in Japan,191
6KdUG5LraCh5sj6uFXiNT0,インソムニアガール,HOTEL DONUTS,249
2xGidLUavQbZZMMp7RFzK1,風の通り道,All That Jazz,215
0sVnyL71jTOuMt9TZ59bws,ロビンソン,SPITZ,260
5WTXWw3ExdMtpozfFNH25d,366日,Mone Kamishiraishi,316
7gRLdM0fUa3v69BeWYAMzO,Shirushi,LiSA,288
3pOkmFi5UCjVYDcIJ5fsoy,Itsabet,Kimmese,228
28J422M70C4zeTr5JBH8UL,Pilgrim,Elza Kanzaki,245
6CRX3ENpLq42r0iBSjOqr1,Grand Escape (feat. Toko Miura),RADWIMPS,339
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,194
0cq5E0XfR8qiXKJEwXxORy,Uneventful Days,Beck,197
2enPRFda84VE2wtI8c86Uf,Always Forever,Cults,223
48TPAQGjRuGzARTHAaiWkD,ばらの花 × ネイティブダンサー,yui (FLOWER FLOWER) × ミゾベリョウ (odol),264
3UknZzYzAhqcCVPahU5FY1,Wild Side,ALI,158
5zXmmhtXrhDbYnScaYpqZg,Imported (with 6LACK),Jessie Reyez,225
26kP0UtIDqVEttFjX92BLA,Can't Stop (A Playa),Schwey,224
09eYSoem8gQWelNj1G9Aqa,N-Sao?,Suboi,216
